IFUT (ОКЭД);Отрасль (вид деятельности);Категория риска;КСТ
47540;Розничная торговля бытовыми электротоварами в специализированных магазинах;3;1,143
47590;Розничная торговля мебелью, осветительным оборудованием и прочими бытовыми предметами в специализированных магазинах;3;1,143
47591;Розничная торговля мебелью в специализированных магазинах;3;1,143
47599;Розничная торговля осветительным оборудованием и прочими бытовыми предметами в специализированных магазинах;3;1,143
47600;Розничная торговля товарами для культурного отдыха, спорта и досуга в специализированных магазинах;3;1,143
47610;Розничная торговля книгами в специализированных магазинах;3;1,143
47620;Розничная торговля газетами, журналами и канцелярскими товарами в специализированных магазинах;3;1,143
47630;Розничная торговля видео- и аудиозаписями в специализированных магазинах;3;1,143
47640;Розничная торговля спортивными товарами в специализированных магазинах;3;1,143
47650;Розничная торговля играми и игрушками в специализированных магазинах;3;1,143
47700;Розничная торговля прочими товарами в специализированных магазинах;3;1,143
47710;Розничная торговля одеждой в специализированных магазинах;3;1,143
47711;Розничная торговля трикотажными и чулочно-носочными изделиями в специализированных магазинах;3;1,143
47712;Розничная торговля одеждой (кроме трикотажных и чулочно-носочных изделий) в специализированных магазинах;3;1,143
47720;Розничная торговля обувью и кожаными изделиями в специализированных магазинах;3;1,143
47721;Розничная торговля обувью в специализированных магазинах;3;1,143
47722;Розничная торговля кожаными изделиями в специализированных магазинах;3;1,143
47730;Розничная торговля фармацевтическими товарами в специализированных магазинах;3;1,143
47740;Розничная торговля медицинскими и ортопедическими товарами в специализированных магазинах;3;1,143
47750;Розничная торговля косметическими товарами и предметами личной гигиены в специализированных магазинах;3;1,143
47760;Розничная торговля цветами и другими растениями, семенами, удобрениями, домашними животными и кормами для них в специализированных магазинах;3;1,143
47770;Розничная торговля часами и ювелирными изделиями в специализированных магазинах;3;1,143
47780;Розничная торговля прочими новыми товарами в специализированных магазинах;3;1,143
47790;Розничная торговля бывшими в употреблении товарами;3;1,143
47800;Розничная торговля через палатки и рынки;3;1,143
47810;Розничная торговля продуктами питания, напитками и табачными изделиями на палатках и рынках;3;1,143
47820;Розничная торговля текстильными изделиями, одеждой и обувью на палатках и рынках;3;1,143
47890;Розничная торговля прочими товарами на палатках и рынках;3;1,143
47900;Розничная торговля вне магазинов, палаток и рынков;3;1,143
47910;Розничная торговля по почте и через Интернет;3;1,143
47990;Прочая розничная торговля вне магазинов, палаток и рынков;3;1,143
55000;Услуги в сфере проживания;3;1,143
55100;Услуги гостиниц и аналогичных средств размещения;3;1,143
55200;Предоставление жилья на выходные и краткосрочное проживание;3;1,143
55900;Прочие услуги по предоставлению жилья;3;1,143
56000;Услуги по доставке продуктов питания и напитков;3;1,143
56100;Услуги ресторанов и доставка продуктов питания;3;1,143
56200;Прочие услуги по доставке готовой пищи и продуктов питания по заказу;3;1,143
56210;Доставка готовой пищи по заказу;3;1,143
56290;Прочие виды организации питания;3;1,143
56300;Доставка напитков;3;1,143
80000;Деятельность по обеспечению безопасности и проведению расследований;3;1,143
80100;Деятельность служб частной охраны;3;1,143
80200;Деятельность в сфере охранных систем;3;1,143
80300;Проведение расследований;3;1,143
12000;Производство табачных изделий;4;1,429
18000;Издательская и полиграфическая деятельность;4;1,429
18100;Полиграфическая деятельность и сопутствующие услуги;4;1,429
18110;Издание газет;4;1,429
18120;Прочие виды полиграфической деятельности;4;1,429
18130;Подготовка печатных форм и информационная деятельность;4;1,429
18140;Переплётно-брошюровочные и отделочные работы и сопутствующие услуги;4;1,429
20400;Производство мыла, моющих средств, чистящих и полировальных препаратов, парфюмерии и косметики;4;1,429
20410;Производство мыла, моющих, чистящих и полировальных средств;4;1,429
20420;Производство парфюмерии и косметических средств;4;1,429
20530;Производство эфирных масел;4;1,429
23420;Производство санитарно-гигиенических изделий из керамики;4;1,429
23440;Производство прочих технических керамических изделий;4;1,429
26520;Производство часов;4;1,429
32000;Производство прочих готовых изделий;4;1,429
32100;Производство ювелирных изделий, бижутерии и аналогичных изделий;4;1,429
32110;Чеканка монет;4;1,429
32120;Производство ювелирных и аналогичных изделий;4;1,429
32130;Производство бижутерии и аналогичных изделий;4;1,429
32900;Производство прочих готовых изделий, не включённых в другие категории;4;1,429
36000;Сбор, обработка и распределение воды;4;1,429
37000;Канализационные системы;4;1,429
38110;Сбор неопасных отходов;4;1,429
39000;Прочие услуги в сфере утилизации и восстановления отходов;4;1,429
45200;Ремонт и техническое обслуживание автотранспортных средств;4;1,429
45201;Техническое обслуживание и ремонт легковых автомобилей;4;1,429
45202;Техническое обслуживание и ремонт прочих автомобилей;4;1,429
45203;Мойка, полировка и аналогичная деятельность в отношении автомобилей;4;1,429
45209;Прочие виды технического обслуживания и ремонта автотранспортных средств, не включённые в другие категории;4;1,429
45403;Техническое обслуживание и ремонт мотоциклов;4;1,429
46200;Оптовая торговля сельскохозяйственным сырьём и живыми животными;4;1,429
46210;Оптовая торговля зерном, необработанным табаком, семенами и кормами для животных;4;1,429
46211;Оптовая торговля зерном, семенами и кормами для животных;4;1,429
46212;Оптовая торговля необработанным табаком;4;1,429
46220;Оптовая торговля цветами и другими растениями;4;1,429
46230;Оптовая торговля живыми животными;4;1,429
46240;Оптовая торговля кожей и кожаными изделиями;4;1,429
46300;Оптовая торговля продуктами питания, включая напитки и табачные изделия;4;1,429
46310;Оптовая торговля фруктами и овощами;4;1,429
46320;Оптовая торговля мясом и мясными продуктами;4;1,429
46330;Оптовая торговля молочными продуктами, яйцами, пищевыми жирами и маслами;4;1,429
46340;Оптовая торговля напитками;4;1,429
46341;Оптовая торговля алкогольными напитками;4;1,429
46342;Оптовая торговля безалкогольными напитками и пивом;4;1,429
46350;Оптовая торговля табачными изделиями;4;1,429
46360;Оптовая торговля сахаром, шоколадом и кондитерскими изделиями;4;1,429
46370;Оптовая торговля кофе, чаем, какао и специями;4;1,429
46380;Оптовая торговля прочими продуктами питания, включая рыбу, ракообразных и моллюсков;4;1,429
46390;Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями;4;1,429
46400;Оптовая торговля непродовольственными потребительскими товарами;4;1,429
46410;Оптовая торговля текстильными изделиями;4;1,429
46420;Оптовая торговля одеждой и обувью;4;1,429
46421;Оптовая торговля одеждой;4;1,429
46422;Оптовая торговля обувью;4;1,429
46430;Оптовая торговля бытовыми электротоварами;4;1,429
46431;Оптовая торговля бытовой радио- и телеаппаратурой;4;1,429
46432;Оптовая торговля аудио- и видеокассетами, записанными CD и DVD;4;1,429
46439;Оптовая торговля прочими бытовыми электротоварами;4;1,429
46440;Оптовая торговля фарфором, стеклянной посудой и чистящими средствами;4;1,429
46450;Оптовая торговля парфюмерией и косметикой;4;1,429
46460;Оптовая торговля фармацевтическими товарами;4;1,429
46470;Оптовая торговля мебелью, коврами и осветительными приборами для дома;4;1,429
46471;Оптовая торговля мебелью и коврами для дома;4;1,429
46472;Оптовая торговля осветительными приборами;4;1,429
46480;Оптовая торговля часами и ювелирными изделиями;4;1,429
46490;Оптовая торговля прочими бытовыми товарами;4;1,429
46500;Оптовая торговля информационно-коммуникационным оборудованием;4;1,429
46510;Оптовая торговля компьютерами, периферийными устройствами и программным обеспечением;4;1,429
46520;Оптовая торговля электронным и телекоммуникационным оборудованием и его запасными частями;4;1,429
46600;Оптовая торговля прочим оборудованием, машинами и запасными частями;4;1,429
46610;Оптовая торговля сельскохозяйственной техникой, оборудованием и их запчастями;4;1,429
46620;Оптовая торговля механическими машинами;4;1,429
46630;Оптовая торговля техникой для горнодобывающей и строительной промышленности;4;1,429
46640;Оптовая торговля оборудованием для текстильной, швейной и трикотажной промышленности;4;1,429
46650;Оптовая торговля офисной мебелью;4;1,429
46660;Оптовая торговля прочим офисным оборудованием и техникой;4;1,429
46690;Оптовая торговля прочими машинами и оборудованием;4;1,429
46700;Прочая специализированная оптовая торговля;4;1,429
46710;Оптовая торговля твёрдым, жидким и газообразным топливом и аналогичными продуктами;4;1,429
46720;Оптовая торговля металлами и металлическими рудами;4;1,429
46730;Оптовая торговля древесиной, строительными материалами и санитарно-техническим оборудованием;4;1,429
46740;Оптовая торговля металлическими изделиями, водопроводным и отопительным оборудованием;4;1,429
46750;Оптовая торговля химической продукцией;4;1,429
46760;Оптовая торговля прочей промежуточной продукцией;4;1,429
46770;Оптовая торговля отходами и ломом;4;1,429
46900;Неспециализированная оптовая торговля;4;1,429
49500;Транспортировка грузов по трубопроводам;4;1,429
58000;Издательская деятельность;4;1,429
58100;Издание книг, периодических изданий и прочая издательская деятельность;4;1,429
58110;Издание книг;4;1,429
58120;Издание справочников и каталогов;4;1,429
58130;Издание газет;4;1,429
58140;Издание журналов и периодических изданий;4;1,429
58190;Прочие виды издательской деятельности;4;1,429
58200;Разработка программного обеспечения;4;1,429
58210;Разработка компьютерных игр;4;1,429
58290;Разработка прочего программного обеспечения;4;1,429
68322;Деятельность товариществ собственников жилья;4;1,429
03200;Аквакультура;5;1,714
03210;Морская аквакультура;5;1,714
03220;Пресноводная аквакультура;5;1,714
10720;Производство сухарей и печенья, кондитерских изделий длительного хранения из теста;5;1,714
10820;Производство какао, шоколада и сахаристых кондитерских изделий;5;1,714
11000;Производство напитков;5;1,714
11010;Перегонка, очистка и смешивание алкогольных напитков;5;1,714
11020;Производство вин из винограда;5;1,714
11030;Производство сидра (яблочного вина) и других плодовых вин;5;1,714
11040;Производство прочих не перегнанных ферментированных (броженных) напитков;5;1,714
11070;"Производство безалкогольных напитков; бутилированной минеральной и другой воды";5;1,714
14000;Производство одежды;5;1,714
14100;Производство одежды, кроме меховой;5;1,714
14110;Производство одежды из кожи;5;1,714
14120;Производство корсетов;5;1,714
14130;Производство прочей верхней одежды;5;1,714
14140;Производство нижнего белья;5;1,714
14190;Производство прочей одежды и аксессуаров;5;1,714
26800;Производство магнитных и оптических носителей информации;5;1,714
33179;Ремонт прочего транспорта, не включённого в другие категории;5;1,714
35230;Продажа газообразного топлива по трубопроводам;5;1,714
38200;Обработка и удаление отходов;5;1,714
38210;Обработка и удаление неопасных отходов;5;1,714
38220;Обработка и удаление опасных отходов;5;1,714
84250;Деятельность по обеспечению безопасности в чрезвычайных ситуациях;5;1,714
